Series,Winner,StartDate,FinishDate,Gender
3,Leona Lewis,2006-08-19 00:00:00,2006-12-16 00:00:00,Female
5,Alexandra Burke,2008-08-16 00:00:00,2008-12-13 00:00:00,Female
8,Little Mix(Rhythmix),2011-08-20 00:00:00,2011-12-11 00:00:00,Female
1,Steve Brookstein,2004-09-04 00:00:00,2004-12-11 00:00:00,Male
2,Shayne Ward,2005-08-20 00:00:00,2005-12-17 00:00:00,Male
4,Leon Jackson,2007-08-18 00:00:00,2007-12-15 00:00:00,Male
6,Joe Mcelderry,2009-08-22 00:00:00,2009-12-13 00:00:00,Male
7,Matt Cardle,2010-08-21 00:00:00,2010-12-12 00:00:00,Male
9,James Arthur,2012-08-18 00:00:00,2012-12-09 00:00:00,Male
10,Young Park,2013-11-20 00:00:00,2013-10-09 00:00:00,Male
3,Leona Lewis,2006-08-19 00:00:00,2006-12-16 00:00:00,Female
5,Alexandra Burke,2008-08-16 00:00:00,2008-12-13 00:00:00,Female
8,Little Mix(Rhythmix),2011-08-20 00:00:00,2011-12-11 00:00:00,Female
1,Steve Brookstein,2004-09-04 00:00:00,2004-12-11 00:00:00,Male
2,Shayne Ward,2005-08-20 00:00:00,2005-12-17 00:00:00,Male
4,Leon Jackson,2007-08-18 00:00:00,2007-12-15 00:00:00,Male
6,Joe Mcelderry,2009-08-22 00:00:00,2009-12-13 00:00:00,Male
7,Matt Cardle,2010-08-21 00:00:00,2010-12-12 00:00:00,Male
9,James Arthur,2012-08-18 00:00:00,2012-12-09 00:00:00,Male
10,Young Park,2013-11-20 00:00:00,2013-10-09 00:00:00,Male
3,Leona Lewis,2006-08-19 00:00:00,2006-12-16 00:00:00,Female
5,Alexandra Burke,2008-08-16 00:00:00,2008-12-13 00:00:00,Female
8,Little Mix(Rhythmix),2011-08-20 00:00:00,2011-12-11 00:00:00,Female
1,Steve Brookstein,2004-09-04 00:00:00,2004-12-11 00:00:00,Male
2,Shayne Ward,2005-08-20 00:00:00,2005-12-17 00:00:00,Male
4,Leon Jackson,2007-08-18 00:00:00,2007-12-15 00:00:00,Male
6,Joe Mcelderry,2009-08-22 00:00:00,2009-12-13 00:00:00,Male
7,Matt Cardle,2010-08-21 00:00:00,2010-12-12 00:00:00,Male
9,James Arthur,2012-08-18 00:00:00,2012-12-09 00:00:00,Male
10,Young Park,2013-11-20 00:00:00,2013-10-09 00:00:00,Male
3,Leona Lewis,2006-08-19 00:00:00,2006-12-16 00:00:00,Female
5,Alexandra Burke,2008-08-16 00:00:00,2008-12-13 00:00:00,Female
8,Little Mix(Rhythmix),2011-08-20 00:00:00,2011-12-11 00:00:00,Female
1,Steve Brookstein,2004-09-04 00:00:00,2004-12-11 00:00:00,Male
2,Shayne Ward,2005-08-20 00:00:00,2005-12-17 00:00:00,Male
4,Leon Jackson,2007-08-18 00:00:00,2007-12-15 00:00:00,Male
6,Joe Mcelderry,2009-08-22 00:00:00,2009-12-13 00:00:00,Male
7,Matt Cardle,2010-08-21 00:00:00,2010-12-12 00:00:00,Male
9,James Arthur,2012-08-18 00:00:00,2012-12-09 00:00:00,Male
10,Young Park,2013-11-20 00:00:00,2013-10-09 00:00:00,Male
3,Leona Lewis,2006-08-19 00:00:00,2006-12-16 00:00:00,Female
5,Alexandra Burke,2008-08-16 00:00:00,2008-12-13 00:00:00,Female
8,Little Mix(Rhythmix),2011-08-20 00:00:00,2011-12-11 00:00:00,Female
1,Steve Brookstein,2004-09-04 00:00:00,2004-12-11 00:00:00,Male
2,Shayne Ward,2005-08-20 00:00:00,2005-12-17 00:00:00,Male
4,Leon Jackson,2007-08-18 00:00:00,2007-12-15 00:00:00,Male
6,Joe Mcelderry,2009-08-22 00:00:00,2009-12-13 00:00:00,Male
7,Matt Cardle,2010-08-21 00:00:00,2010-12-12 00:00:00,Male
9,James Arthur,2012-08-18 00:00:00,2012-12-09 00:00:00,Male
10,Young Park,2013-11-20 00:00:00,2013-10-09 00:00:00,Male
3,Leona Lewis,2006-08-19 00:00:00,2006-12-16 00:00:00,Female
5,Alexandra Burke,2008-08-16 00:00:00,2008-12-13 00:00:00,Female
8,Little Mix(Rhythmix),2011-08-20 00:00:00,2011-12-11 00:00:00,Female
1,Steve Brookstein,2004-09-04 00:00:00,2004-12-11 00:00:00,Male
2,Shayne Ward,2005-08-20 00:00:00,2005-12-17 00:00:00,Male
4,Leon Jackson,2007-08-18 00:00:00,2007-12-15 00:00:00,Male
6,Joe Mcelderry,2009-08-22 00:00:00,2009-12-13 00:00:00,Male
7,Matt Cardle,2010-08-21 00:00:00,2010-12-12 00:00:00,Male
9,James Arthur,2012-08-18 00:00:00,2012-12-09 00:00:00,Male
10,Young Park,2013-11-20 00:00:00,2013-10-09 00:00:00,Male
3,Leona Lewis,2006-08-19 00:00:00,2006-12-16 00:00:00,Female
5,Alexandra Burke,2008-08-16 00:00:00,2008-12-13 00:00:00,Female
8,Little Mix(Rhythmix),2011-08-20 00:00:00,2011-12-11 00:00:00,Female
1,Steve Brookstein,2004-09-04 00:00:00,2004-12-11 00:00:00,Male
2,Shayne Ward,2005-08-20 00:00:00,2005-12-17 00:00:00,Male
4,Leon Jackson,2007-08-18 00:00:00,2007-12-15 00:00:00,Male
6,Joe Mcelderry,2009-08-22 00:00:00,2009-12-13 00:00:00,Male
7,Matt Cardle,2010-08-21 00:00:00,2010-12-12 00:00:00,Male
9,James Arthur,2012-08-18 00:00:00,2012-12-09 00:00:00,Male
10,Young Park,2013-11-20 00:00:00,2013-10-09 00:00:00,Male
3,Leona Lewis,2006-08-19 00:00:00,2006-12-16 00:00:00,Female
5,Alexandra Burke,2008-08-16 00:00:00,2008-12-13 00:00:00,Female
8,Little Mix(Rhythmix),2011-08-20 00:00:00,2011-12-11 00:00:00,Female
1,Steve Brookstein,2004-09-04 00:00:00,2004-12-11 00:00:00,Male
2,Shayne Ward,2005-08-20 00:00:00,2005-12-17 00:00:00,Male
4,Leon Jackson,2007-08-18 00:00:00,2007-12-15 00:00:00,Male
6,Joe Mcelderry,2009-08-22 00:00:00,2009-12-13 00:00:00,Male
7,Matt Cardle,2010-08-21 00:00:00,2010-12-12 00:00:00,Male
9,James Arthur,2012-08-18 00:00:00,2012-12-09 00:00:00,Male
10,Young Park,2013-11-20 00:00:00,2013-10-09 00:00:00,Male
